Description,status,Included carbon life cycle stage,Hardware system,Computer system stack ,Datacenter stack,Link,Descriptions
DTCO including Sustainability,paper,Manufacturing,"Datacenter, Mobile, Edge","Microarchitecture, Circuit",Platform,https://ieeexplore.ieee.org/document/9372004,This article describes the energy consumption per unit area of several processes at different technology nodes in the logic IC manufacturing process.
Weebit ReRAM,web page,Manufacturing,"Datacenter, Mobile, Edge,Tiny",Device&Tech,Platform,https://www.weebit-nano.com/weebit-nano-rram-reram-ip-nvm-for-semiconductors-green-materials-eco-friendly-technology-production/,This page describes the amount of carbon dioxide emissions that ReRAM reduces during its life cycle compared to regular MRAM.
RAPL <a name='RAPL'></a>,website,Operation,"Datacenter, Edge",OS,"Platform, Application",https://github.com/hubblo-org/windows-rapl-driver,"RAPL allows software to monitor and control the power usage of the processor and its components, such as the CPU cores, memory controllers and GPUs. The Linux powercap driver has the ability to expose the RAPL hardware energy counters by a set of files that can be accessed through the Linux file system."
pynvml<a name='pynvml'></a>,website,Operation,"Datacenter, Mobile, Edge",Application,"Platform, Application",https://pypi.org/project/pynvml/,Provides a Python interface to GPU management and monitoring functions.
Carbon Intensity API <a name='API'>,website,"Operation, Manufacturing","Datacenter, Mobile, Edge,Tiny","Application, Circuit",Infrastructure,https://carbonintensity.org.uk/,The Carbon Intensity API uses state-of-the-art Machine Learning and sophisticated power system modelling to forecast the carbon intensity and generation mix 96+ hours ahead for each region in Great Britain.
Carbon intensity,website,"Operation, Manufacturing","Datacenter, Mobile, Edge,Tiny","Application, Circuit",Infrastructure,https://www.eea.europa.eu/en/datahub/datahubitem-view/de803073-7dff-4c75-af40-166ba6c16e95,A dataset collection published in 2022 describes the carbon intensity of electricity generation for different countries.
ENERGI DATA SERVICE,website,"Operation, Manufacturing","Datacenter, Mobile, Edge,Tiny","Application, Circuit",Infrastructure,https://www.energidataservice.dk/,"It tracks the retail prices of motor fuel, electricity, and natural gas for Denmark."
Global Petrol Prices,website,"Operation, Manufacturing","Datacenter, Mobile, Edge,Tiny","Application, Circuit",Infrastructure,https://www.globalpetrolprices.com/,"It tracks the retail prices of motor fuel, electricity, and natural gas in over 150 countries."
MCU LCA,website,"Operation, Manufacturing, End-of-life",Tiny,"Microarchitecture, Circuit",N/A,https://www.st.com/content/st_com/en/about/sustainability/sustainable-technology.html,A website where you can find LCA reports for some specific MCU products.
LCA repository,repository,"Operation, Manufacturing,End-of-life","Datacenter, Mobile, Edge","Microarchitecture, Circuit",Platform,https://github.com/Boavizta/environmental-footprint-data/blob/main/boavizta-data-us.csv,"Examples include life cycle assessments of many devices such as servers, notebooks, and IoT from many companies such as Apple, Dell, and HP."
